atheism-> ('stephanopoulos', 0.040271669725316685),('db', 0.01448583000215947),('uw', 0.011212005144779987),('zd', 0.011123991217043029),('jpeg', 0.009243201861895046),('char', 0.00826885379427524),('bxn', 0.007384028652692355),('mr', 0.005264161665447337),('appears', 0.0045548770900668695),('op_rows', 0.0042400295030840494),
autos-> ('ei', 0.012460712034659599),('bhj', 0.00909708170475202),('scx', 0.008580792723894093),('ck', 0.0069944459624772),("larson's", 0.0038465622555387312),('sy', 0.002601569742829564),('het', 0.002435928668429696),('at', 0.0023783353337467252),('revolver', 0.001985408487948878),('jj', 0.0019232811277693656),
baseball-> ('ax', 0.10546995288122066),('bxn', 0.007491196997710246),('um', 0.006738097074158726),('rmc', 0.006157723069997926),('aspi', 0.0044126228890622),('eof_not', 0.0043593053634874025),('limbaugh', 0.0039856506180456245),('plplot', 0.0038890882547355323),('phi', 0.0028961393600601807),('mc', 0.0027907928815040332),
christian-> ('ax', 0.15986647377955104),('dy', 0.010573682170657546),('lk', 0.010511296671664522),('bh', 0.008756782683436859),('so', 0.006844565274572247),('em', 0.005240499493323783),('professor', 0.004356989942891826),('model_init', 0.00413445719583862),('byte', 0.00395654603956718),('coli', 0.003666731397092275),
crypto-> ('ax', 0.31080678294510483),('max', 0.018164180733159622),('tq', 0.008084518512289758),('wm', 0.006011399273881252),('vz', 0.005017977007628125),('entries', 0.0038056657038001832),('firearm', 0.0029954176669162486),('hz', 0.002902626384254377),('darren', 0.0025801123415594464),('vpic', 0.0025156095330204605),
electronics-> ('ww', 0.013226914661846806),('te', 0.008854253176212514),('mw', 0.00852722766784524),('son', 0.006188814112142368),('el', 0.005805124369437696),('magi', 0.005623077015092211),('di', 0.0047399639346784855),('mk', 0.00449061917531836),('larson', 0.003799376361548791),('requests', 0.003674142961624113),
forsale-> ('qs', 0.008244318565493946),('max', 0.008243666426700623),('hz', 0.004218575932808917),('sl', 0.003950129949247004),('gc', 0.003886849677354743),('grounding', 0.003386669761973289),('jobs', 0.002777229155765871),('anti-defamation', 0.0022188526026721547),('over', 0.0021982563755000104),('dealy', 0.0021222998287410157),
graphics-> ('ax', 0.12311879552939702),('wt', 0.00627418332235587),('ql', 0.004796378170151244),('ordnance', 0.0036581649824613703),('libx', 0.0033533179005895896),('linked', 0.002962468869799298),('svr', 0.0024036835047542733),('hb', 0.0023276541119851626),('usma', 0.0022863531140383565),('jle', 0.002133929573102466),
guns-> ('tobacco', 0.008286540247914226),('ck', 0.007234322056384447),('anonymous', 0.005393010666725733),('judas', 0.005153944142688242),('entry', 0.005133731307748535),('nyr', 0.004724836301174238),('tb', 0.0037661738632548273),('cj', 0.003474343410294463),('wm', 0.003168207025497202),('det', 0.0030471770348152695),
hockey-> ('um', 0.009363866648814613),('rck', 0.005656537957518094),('check_io', 0.004347738312237204),('op_cols', 0.004167975337118596),('forged', 0.004167975337118596),('henrik', 0.003004978300804683),('hobgoblin', 0.0028280049464137363),('sleeve', 0.00271905038622407),('maria', 0.0026394712833194872),('adaptec', 0.0025790310685294485),
mac-> ('ax', 0.30222736372136433),('di', 0.011707303061127342),('x_s', 0.007199894908560832),('yd', 0.0054719201305062325),('qs', 0.004177545052463056),('kings', 0.003465069543272174),('sphinx', 0.0028799579634243328),('locutus', 0.0028799579634243328),('on', 0.0027359600652531162),('si', 0.0026987560865869816),
medical-> ('ax', 0.44007023017198466),('giz', 0.012147639635948542),('jz', 0.0041649050180395),('nejm', 0.0025964442963312276),('enviroleague', 0.002257777648983676),('wd', 0.0020870011304590973),('onur', 0.0020620601056170404),('caligiuri', 0.0019191110016361246),('bedouin', 0.0017353770908497914),('intake', 0.0017157508247827994),
mideast-> ('ei', 0.016791234415287824),('okz', 0.012952705796433655),('fprintf', 0.009553633374215486),('pu', 0.009360630679786892),('printf', 0.009308248418934104),('entry', 0.005767373185098793),('rlk', 0.0057391866095278625),('ahf', 0.005638236640800532),('bh', 0.004583607175990279),('max', 0.004507150837537438),
motorcycles-> ('ax', 0.17623479429201358),('mov', 0.016549941978704814),('tl', 0.013439445572644178),('hiv', 0.006768771857755097),('maxbyte', 0.005111906770116433),('uw', 0.0038709289777379436),('ck', 0.0037450078111347282),('uccxkvb', 0.0032530315809831847),('taoism', 0.003098125315222081),('liefeld', 0.0030410424288464925),
pc-> ('bhj', 0.007684459116885887),('smokeless', 0.005521124433228614),('ta', 0.0045695338219139126),('check_io', 0.004358349946890504),('aids', 0.0039251346354441784),('pit', 0.0038338524346198956),('gfx', 0.003118398062424491),('sj', 0.0030585083194173512),('rom', 0.0029432939589617005),('allocation', 0.0026015427234920723),
politics-> ('mk', 0.007283635421877093),('ql', 0.006626241734225043),('ripem', 0.004863943400654554),('argument', 0.0043704998672548165),('umu', 0.004332128975937135),('farid', 0.004112924406893001),('eof_not', 0.004097959842102696),('azerbaijan', 0.003918146012247529),('offset', 0.0031834109377216558),('otis', 0.003086943939608878),
religion-> ('cx', 0.021872490943948993),('oname', 0.016025360659494923),('chz', 0.01449573064778679),('di', 0.007575094394059339),('ww', 0.00510645056910671),('fallacy', 0.004951288021553654),('output', 0.004313538059893137),('wiring', 0.0036712778307494216),('zoroastrians', 0.0030660992513730015),('sabres', 0.0030636718907857937),
space-> ('max', 0.0091121018423641),('uww', 0.0074922693554130325),('compass', 0.006549213877818985),('stream', 0.0057766053562659635),('libxmu', 0.005155045425967173),('xfree', 0.004440314441535061),('entries', 0.004228870896700058),('argumentum', 0.003655375187619898),('rk', 0.0036114899311215734),('attack', 0.0031912185970272974),
windows-> ('ax', 0.3353132936105717),('max', 0.009983327894912795),('qs', 0.004956842570720562),('myers', 0.00446829014931213),('entry', 0.004371792129088321),('rlk', 0.004294935973571508),('zd', 0.0036209291343850597),('rsi', 0.0033786942746021676),('bayonet', 0.002858895155432603),('adirondack', 0.0027156968507887945),
xwindows-> ('max', 0.009637493700992459),('lk', 0.008545200445414214),('lq', 0.005084984377299314),('ah', 0.005011521703061821),('chz', 0.004116415924480397),('bxn', 0.0035202326700490274),('ripem', 0.002989501380549413),('xmu', 0.002919978092629659),('wsm', 0.001953085233510626),('dde', 0.0017125456232670944),
